"initial_alias","converted_alias","name","description","namespace"
"MRPL15","ENSG00000137547","MRPL15","mitochondrial ribosomal protein L15 [Source:HGNC Symbol;Acc:HGNC:14054]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LYPLA1","ENSG00000120992","LYPLA1","lysophospholipase 1 [Source:HGNC Symbol;Acc:HGNC:6737]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TCEA1","ENSG00000187735","TCEA1","transcription elongation factor A1 [Source:HGNC Symbol;Acc:HGNC:11612]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATP6V1H","ENSG00000047249","ATP6V1H","ATPase H+ transporting V1 subunit H [Source:HGNC Symbol;Acc:HGNC:18303]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RB1CC1","ENSG00000023287","RB1CC1","RB1 inducible coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:15574]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"4732440D04RIK","None","None","None",""
"PCMTD1","ENSG00000168300","PCMTD1","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30483]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RRS1","ENSG00000179041","RRS1","ribosome biogenesis regulator 1 homolog [Source:HGNC Symbol;Acc:HGNC:17083]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"VCPIP1","ENSG00000175073","VCPIP1","valosin containing protein interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:30897]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SGK3","ENSG00000104205","SGK3","serum/glucocorticoid regulated kinase family member 3 [Source:HGNC Symbol;Acc:HGNC:10812]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SGK3","ENSG00000288602","C8orf44-SGK3","C8orf44-SGK3 readthrough [Source:HGNC Symbol;Acc:HGNC:48354]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SNHG6","ENSG00000245910","SNHG6","small nucleolar RNA host gene 6 [Source:HGNC Symbol;Acc:HGNC:32965]","GENECARDS,HGNC"
"COPS5","ENSG00000121022","COPS5","COP9 signalosome subunit 5 [Source:HGNC Symbol;Acc:HGNC:2240]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CSPP1","ENSG00000104218","CSPP1","centrosome and spindle pole associated protein 1 [Source:HGNC Symbol;Acc:HGNC:26193]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARFGEF1","ENSG00000066777","ARFGEF1","ADP ribosylation factor guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:15772]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NCOA2","ENSG00000140396","NCOA2","nuclear receptor coactivator 2 [Source:HGNC Symbol;Acc:HGNC:7669]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TRAM1","ENSG00000067167","TRAM1","translocation associated membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:20568]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LACTB2","ENSG00000147592","LACTB2","lactamase beta 2 [Source:HGNC Symbol;Acc:HGNC:18512]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TERF1","ENSG00000147601","TERF1","telomeric repeat binding factor 1 [Source:HGNC Symbol;Acc:HGNC:11728]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPL7","ENSG00000147604","RPL7","ribosomal protein L7 [Source:HGNC Symbol;Acc:HGNC:10363]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RDH10","ENSG00000121039","RDH10","retinol dehydrogenase 10 [Source:HGNC Symbol;Acc:HGNC:19975]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UBE2W","ENSG00000104343","UBE2W","ubiquitin conjugating enzyme E2 W [Source:HGNC Symbol;Acc:HGNC:25616]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ELOC","ENSG00000154582","ELOC","elongin C [Source:HGNC Symbol;Acc:HGNC:11617]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM70","ENSG00000175606","TMEM70","transmembrane protein 70 [Source:HGNC Symbol;Acc:HGNC:26050]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LY96","ENSG00000154589","LY96","lymphocyte antigen 96 [Source:HGNC Symbol;Acc:HGNC:17156]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MCM3","ENSG00000112118","MCM3","minichromosome maintenance complex component 3 [Source:HGNC Symbol;Acc:HGNC:6945]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TRAM2","ENSG00000065308","TRAM2","translocation associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:16855]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM14A","ENSG00000096092","TMEM14A","transmembrane protein 14A [Source:HGNC Symbol;Acc:HGNC:21076]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OGFRL1","ENSG00000119900","OGFRL1","opioid growth factor receptor like 1 [Source:HGNC Symbol;Acc:HGNC:21378]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SMAP1","ENSG00000112305","SMAP1","small ArfGAP 1 [Source:HGNC Symbol;Acc:HGNC:19651]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SDHAF4","ENSG00000154079","SDHAF4","succinate dehydrogenase complex assembly factor 4 [Source:HGNC Symbol;Acc:HGNC:20957]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LMBRD1","ENSG00000168216","LMBRD1","LMBR1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23038]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PHF3","ENSG00000118482","PHF3","PHD finger protein 3 [Source:HGNC Symbol;Acc:HGNC:8921]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PTP4A1","ENSG00000112245","PTP4A1","protein tyrosine phosphatase 4A1 [Source:HGNC Symbol;Acc:HGNC:9634]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PRIM2","ENSG00000146143","PRIM2","DNA primase subunit 2 [Source:HGNC Symbol;Acc:HGNC:9370]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RAB23","ENSG00000112210","RAB23","RAB23, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:14263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BAG2","ENSG00000112208","BAG2","BAG cochaperone 2 [Source:HGNC Symbol;Acc:HGNC:938]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZFP451","None","None","None",""
"CCDC115","ENSG00000136710","CCDC115","coiled-coil domain containing 115 [Source:HGNC Symbol;Acc:HGNC:28178]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IMP4","ENSG00000136718","IMP4","IMP U3 small nucleolar ribonucleoprotein 4 [Source:HGNC Symbol;Acc:HGNC:30856]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PTPN18","ENSG00000072135","PTPN18","protein tyrosine phosphatase non-receptor type 18 [Source:HGNC Symbol;Acc:HGNC:9649]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARHGEF4","ENSG00000136002","ARHGEF4","Rho guanine nucleotide exchange factor 4 [Source:HGNC Symbol;Acc:HGNC:684]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FAM168B","ENSG00000152102","FAM168B","family with sequence similarity 168 member B [Source:HGNC Symbol;Acc:HGNC:27016]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PLEKHB2","ENSG00000115762","PLEKHB2","pleckstrin homology domain containing B2 [Source:HGNC Symbol;Acc:HGNC:19236]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HS6ST1","ENSG00000136720","HS6ST1","heparan sulfate 6-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5201]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UGGT1","ENSG00000136731","UGGT1","UDP-glucose glycoprotein glucosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:15663]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NEURL3","ENSG00000163121","NEURL3","neuralized E3 ubiquitin protein ligase 3 [Source:HGNC Symbol;Acc:HGNC:25162]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARID5A","ENSG00000196843","ARID5A","AT-rich interaction domain 5A [Source:HGNC Symbol;Acc:HGNC:17361]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KANSL3","ENSG00000114982","KANSL3","KAT8 regulatory NSL complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:25473]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LMAN2L","ENSG00000114988","LMAN2L","lectin, mannose binding 2 like [Source:HGNC Symbol;Acc:HGNC:19263]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CNNM4","ENSG00000158158","CNNM4","cyclin and CBS domain divalent metal cation transport mediator 4 [Source:HGNC Symbol;Acc:HGNC:105]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CNNM3","ENSG00000168763","CNNM3","cyclin and CBS domain divalent metal cation transport mediator 3 [Source:HGNC Symbol;Acc:HGNC:104]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANKRD39","ENSG00000213337","ANKRD39","ankyrin repeat domain 39 [Source:HGNC Symbol;Acc:HGNC:28640]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COX5B","ENSG00000135940","COX5B","cytochrome c oxidase subunit 5B [Source:HGNC Symbol;Acc:HGNC:2269]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACTR1B","ENSG00000115073","ACTR1B","actin related protein 1B [Source:HGNC Symbol;Acc:HGNC:168]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZAP70","ENSG00000115085","ZAP70","zeta chain of T cell receptor associated protein kinase 70 [Source:HGNC Symbol;Acc:HGNC:12858]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM131","ENSG00000075568","TMEM131","transmembrane protein 131 [Source:HGNC Symbol;Acc:HGNC:30366]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"INPP4A","ENSG00000040933","INPP4A","inositol polyphosphate-4-phosphatase type I A [Source:HGNC Symbol;Acc:HGNC:6074]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COA5","ENSG00000183513","COA5","cytochrome c oxidase assembly factor 5 [Source:HGNC Symbol;Acc:HGNC:33848]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UNC50","ENSG00000115446","UNC50","unc-50 inner nuclear membrane RNA binding protein [Source:HGNC Symbol;Acc:HGNC:16046]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MGAT4A","ENSG00000071073","MGAT4A","alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A [Source:HGNC Symbol;Acc:HGNC:7047]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"2010300C02RIK","None","None","None",""
"LIPT1","ENSG00000144182","LIPT1","lipoyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:29569]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MITD1","ENSG00000158411","MITD1","microtubule interacting and trafficking domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25207]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MRPL30","ENSG00000185414","MRPL30","mitochondrial ribosomal protein L30 [Source:HGNC Symbol;Acc:HGNC:14036]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TXNDC9","ENSG00000115514","TXNDC9","thioredoxin domain containing 9 [Source:HGNC Symbol;Acc:HGNC:24110]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EIF5B","ENSG00000158417","EIF5B","eukaryotic translation initiation factor 5B [Source:HGNC Symbol;Acc:HGNC:30793]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"REV1","ENSG00000135945","REV1","REV1 DNA directed polymerase [Source:HGNC Symbol;Acc:HGNC:14060]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AFF3","ENSG00000144218","AFF3","ALF transcription elongation factor 3 [Source:HGNC Symbol;Acc:HGNC:6473]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GM16152","None","None","None",""
"CHST10","ENSG00000115526","CHST10","carbohydrate sulfotransferase 10 [Source:HGNC Symbol;Acc:HGNC:19650]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PDCL3","ENSG00000115539","PDCL3","phosducin like 3 [Source:HGNC Symbol;Acc:HGNC:28860]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
